16,MongoDB in Action,1935182870,176.66,11.67,2.33,382,2011-12-12,MongoDB In Action is a comprehensive guide to MongoDB for application developers. The book begins by explaining what makes MongoDB unique and describing its ideal use cases. A series of tutorials designed for MongoDB mastery then leads into detailed examples for leveraging MongoDB in e-commerce; social networking; analytics; and other common applications.,Kyle Banker,Next Generation Databases,N,1900-01-01,1900-01-01,.
17,Distributed Application Development with PowerBuilder 6.0,1884777686,55.38,1.12,0.22,741,1998-06-01,N/A,Michael J. Barlotta,PowerBuilder,N,1900-01-01,1900-01-01,.
18,Jaguar Development with PowerBuilder 7,1884777864,181.9,3.1,0.62,575,1999-08-01,Jaguar Development with PowerBuilder 7 is the definitive guide to distributed application development with PowerBuilder. It is the only book dedicated to preparing PowerBuilder developers for Jaguar applications and has been approved by Sybase engineers and product specialists who build the tools described in the book.,Michael Barlotta,PowerBuilder,N,1900-01-01,1900-01-01,.
19,Taming Jaguar,1884777686,140.27,2.47,0.49,1075,2000-07-01,N/A,Michael J. Barlotta,PowerBuilder,N,1900-01-01,1900-01-01,.
20,3D User Interfaces with Java 3D,1884777902,158.9,4.17,0.83,1328,2000-08-01,N/A,Jon Barrilleaux,Java,N,1900-01-01,1900-01-01,.
21,Hibernate in Action,193239415X,183.67,3.12,0.62,571,2004-08-01,"""2005 Best Java Book!"" -- Java Developer's Journal",Christian Bauer,Java,N,1900-01-01,1900-01-01,.
22,Hibernate in Action (Chinese Edition),,101.97,2.5,0.5,1301,1999-06-01,N/A,Christian Bauer,Java,N,1900-01-01,1900-01-01,.
23,Java Persistence with Hibernate,1932394885,222.95,8.83,1.76,1331,2006-11-01,"""...this book is the ultimate solution. If you are going to use Hibernate in your application; you have no other choice; go rush to the store and get this book."" --JavaLobby",Christian Bauer,Java,N,1900-01-01,1900-01-01,.
24,JSTL in Action,1930110529,153.75,6.97,1.39,1437,2002-07-01,N/A,Shawn Bayern,Internet,N,1900-01-01,1900-01-01,.
25,iBATIS in Action,1932394826,203.25,14.76,2.95,979,2007-01-01,   Gets new users going and gives experienced users in-depth coverage of advanced features.       Jeff Cunningham; The Weather Channel Interactive,Clinton Begin,Web Development,N,1900-01-01,1900-01-01,.
26,Designing Hard Software,133046192,156.47,4.69,0.93,1141,1997-02-01,"""This book is well written ... The author does not fear to be controversial. In doing so; he writes a coherent book."" --Dr. Frank J. van der Linden; Phillips Research Laboratories",Douglas W. Bennett,Object-Oriented Programming,N,1900-01-01,1900-01-01,.
27,Hibernate Search in Action,1933988649,151.51,4.78,0.95,1141,2008-12-21,"""A great resource for true database independent full text search."" --Aaron Walker; base2Services",Emmanuel Bernard,Java,N,1900-01-01,1900-01-01,.
28,jQuery in Action,1933988355,175.6,3.92,0.78,1243,2008-01-01,"""The best-thought-out and researched piece of literature on the jQuery library."" --From the forward by John Resig; Creator of jQuery",Bear Bibeault,Web Development,N,1900-01-01,1900-01-01,.
29,jQuery in Action; Second Edition,1935182323,121.18,5.03,1,902,2010-06-01,"jQuery in Action; Second Edition is a fast-paced introduction to jQuery that will take your JavaScript programming to the next level. An in-depth rewrite of the bestselling first edition; this edition provides deep and practical coverage of the latest jQuery and jQuery UI releases. The book's unique ""lab pages"" anchor the explanation of each new concept in a practical example. You'll learn how to traverse HTML documents; handle events; perform animations; and add Ajax to your web pages. This comprehensive guide also teaches you how jQuery interacts with other tools and frameworks and how to build jQuery plugins. ",Bear Bibeault,Java,N,1900-01-01,1900-01-01,.
30,Building Secure and Reliable Network Applications,1884777295,73.33,1.26,0.25,959,1996-01-01,"""... tackles the difficult problem of building reliable distributed computing systems in a way that not only presents the principles but also describes proven practical solutions."" --John Warne; BNR Europe",Kenneth P. Birman,Networking,N,1900-01-01,1900-01-01,.
31,Ruby for Rails,1932394699,29.24,0.97,0.19,1215,2006-05-01,The word is out: with Ruby on Rails you can build powerful Web applications easily and quickly! And just like the Rails framework itself; Rails applications are Ruby programs. That means you can   t tap into the full power of Rails unless you master the Ruby language.,David A. Black,Web Development,N,1900-01-01,1900-01-01,.
32,The Well-Grounded Rubyist,1933988657,224.34,5.33,1.06,1265,2009-04-01,What would appear to be the most complex topic of the book is in fact surprisingly easy to assimilate; and one realizes that the efforts of the author to gradually lead us to a sufficient knowledge of Ruby in order to tackle without pain the most difficult subjects; bears its fruit.       Eric Grimois; Developpez.com,David A. Black,Programming,N,1900-01-01,1900-01-01,.
33,Website Owner's Manual,1933988452,108.36,2.36,0.47,602,2009-10-01,Website Owner's Manual helps you form a vision for your site; guides you through the process of selecting a web design agency; and gives you enough background information to make intelligent decisions throughout the development process. This book provides a jargon-free overview of web design; including accessibility; usability; online marketing; and web development techniques. You'll gain a practical understanding of the technologies; processes; and ideas that drive a successful website.,Paul A. Boag,Internet,N,1900-01-01,1900-01-01,.
34,ASP.NET 4.0 in Practice,1935182463,168.35,3.28,0.65,552,2011-05-15,ASP.NET 4.0 in Practice contains real world techniques from well-known professionals who have been using ASP.NET since the first previews.,Daniele Bochicchio,Microsoft .NET,N,1900-01-01,1900-01-01,.
35,Hello! Python,1935182080,168.42,2.97,0.59,968,2012-02-13,Hello! Python fully covers the building blocks of Python programming and gives you a gentle introduction to more advanced topics such as object oriented programming; functional programming; network programming; and program design. New (or nearly new) programmers will learn most of what they need to know to start using Python immediately.,Anthony Briggs,Python,N,1900-01-01,1900-01-01,.
36,PFC Programmer's Reference Manual,1884777554,29.49,1.52,0.3,574,1998-06-01,N/A,Richard Brooks,PowerBuilder,N,1900-01-01,1900-01-01,.
37,Graphics File Formats,133034054,190.63,9.37,1.87,1393,1995-06-01,N/A,C. Wayne Brown,Computer Graphics,N,1900-01-01,1900-01-01,.
38,Visual Object Oriented Programming,131723979,67.07,2.56,0.51,1127,1995-02-01,N/A,Margaret M. Burnett,Programming,N,1900-01-01,1900-01-01,.
39,iOS in Practice,1617291269,74.73,1.53,0.3,1304,2013-11-01,N/A,Bear P. Cahill,Mobile Technology,N,1900-01-01,1900-01-01,.
40,iPhone in Action,193398886X,136.55,2.42,0.48,1432,2008-12-01,   There is not another iPhone title that does such a great coverage of both Web and SDK topics under one roof; thus providing a well-rounded developer education.       Vladimir Pasman; Cocoacast.com,Christopher Allen,Web Development,N,1900-01-01,1900-01-01,.
41,Silverlight 2 in Action,1933988428,159.31,2.97,0.59,855,2008-10-31,   Silverlight 2 in Action gives you a solid; well-thought out and coherent foundation for building RIA web applications; and provides you with lots of technical details without ever becoming cloudy.       Golo Roden; author; trainer and speaker for .NET technologies,Chad A. Campbell,Microsoft .NET,N,1900-01-01,1900-01-01,.
42,The Quick Python Book; Second Edition,193518220X,201.13,5.27,1.05,455,2010-01-01,This revision of Manning's popular The Quick Python Book offers a clear; crisp introduction to the elegant Python programming language and its famously easy-to-read syntax. Written for programmers new to Python; this updated edition covers features common to other languages concisely; while introducing Python's comprehensive standard functions library and unique features in detail.,Naomi R. Ceder,Python,N,1900-01-01,1900-01-01,.
43,Internet and Intranet Applications with PowerBuilder 6,1884777600,191.56,3.47,0.69,781,2000-12-01,N/A,Tom Cervenka,PowerBuilder,N,1900-01-01,1900-01-01,.
44,Practical Methods for Your Year 2000 Problem,188477752X,123.29,2.16,0.43,1067,1998-01-01,Practical Methods for Your Year 2000 Problem gives the Year 2000 project team a step-by-step methodology for addressing the Year 2000 problem.,Robert Chapman,Business,N,1900-01-01,1900-01-01,.
45,Mobile Agents,1884777368,162.55,8.98,1.79,1212,1997-03-01,Mobile Agents is the first book to give the reader the ability to create and use powerful mobile agents on the Internet.,William R. Cockayne and Michael Zyda,Internet,N,1900-01-01,1900-01-01,.
46,Spring Dynamic Modules in Action,1935182307,55.4,1.14,0.22,840,2010-09-04,Spring Dynamic Modules in Action introduces Spring DM and OSGi to Java EE developers and architects. It presents the fundamental concepts of OSGi-based apps and maps them to the familiar ideas of the Spring framework. Then; it engages you with the techniques and concepts you'll need to develop stable; flexible enterprise apps. You'll learn how to embed a Spring container inside an OSGi bundle; and how Spring DM lets you blend Spring strengths like dependency injection with OSGi-based services. Along the way; you'll see how Spring DM handles data access and web-based components; and you'll explore topics like unit testing and configuration in an OSGi-based environment.,Arnaud Cogoluegnes,Java,N,1900-01-01,1900-01-01,.
47,SQL Server 2008 Administration in Action,193398872X,204.17,4.34,0.86,1151,2009-08-01,N/A,Rod Colledge,Microsoft,N,1900-01-01,1900-01-01,.
48,Android in Practice,1935182927,213.74,5.62,1.12,807,2011-09-30,Android in Practice is treasure trove of Android goodness; with over 100 tested; ready-to-use techniques including complete end-to-end example applications and practical tips for real world mobile application developers. Written by real world Android developers; this book addresses the trickiest questions raised in forums and mailing lists. Using an easy-to-follow problem/solution/discussion format; it dives into important topics not covered in other Android books; like advanced drawing and graphics; testing and instrumentation; building and deploying applications; using alternative languages; and native development.,Charlie Collins,Mobile Technology,N,1900-01-01,1900-01-01,.
49,Object Oriented Perl,1884777791,113.78,2.21,0.44,695,1999-08-01,N/A,Damian Conway,Object-Oriented Programming,N,1900-01-01,1900-01-01,.
50,GWT in Practice,1933988290,192.58,4.19,0.83,539,2008-04-01,N/A,Robert Cooper,Web Development,N,1900-01-01,1900-01-01,.
51,Ajax in Action,1932394613,76.55,1.76,0.35,1632,2005-10-01,N/A,Dave Crane,XML,N,1900-01-01,1900-01-01,.
52,Ajax in Practice,1932394990,56.67,1.1,0.22,1130,2007-06-01,N/A,Dave Crane,Web Development,N,1900-01-01,1900-01-01,.
53,Prototype and Scriptaculous in Action,1933988037,181.98,3.37,0.67,845,2007-04-01,N/A,Dave Crane,Web Development,N,1900-01-01,1900-01-01,.
54,POJOs in Action,1932394583,57.34,1.62,0.32,814,2006-01-01,"""POJOs in Action is required reading for battle-weary EJB developers and for new developers who want to avoid the sins of the fathers by using lightweight frameworks.    -- C# Online.NET",Chris Richardson,Java,N,1900-01-01,1900-01-01,.
55,Data Munging with Perl,1930110006,100.1,7.63,1.52,1226,2001-01-01,N/A,David Cross,Perl,N,1900-01-01,1900-01-01,.
56,Hello! HTML5 & CSS3,1935182897,34.92,0.61,0.12,802,2012-10-17,Quick and Easy HTML5 and CSS3 is written for the web designer or developer who wants a fast; example-oriented introduction to the new HTML and CSS features. After a quick review of the basics; you'll turn to what's new. Start by learning to apply important new elements and attributes by building your first real HTML5 pages. You'll then take a quick tour through the new APIs: Form Validation; Canvas; Drag & Drop; Geolocation and Offline Applications. You'll also discover how to include video and audio on your pages without plug-ins; and how to draw interactive vector graphics with SVG.,Rob Crowther,Internet,N,1900-01-01,1900-01-01,.
57,Seam in Action,1933988401,164.88,7.39,1.47,647,2008-08-01,Seam in Action goes into great detail on the ways in which Seam helps reduce the burden of integration with different technologies such as Hibernate and JSF; allowing the developer to focus on the core business objective at hand.       Shobana Jayaraman; Digital Infrastructure Analyst; University of Texas Southwestern Medical Center Library; The Tech Static,Dan Allen,Java,N,1900-01-01,1900-01-01,.
58,Wicket in Action,1932394982,84.83,2.39,0.47,447,2008-08-01,N/A,Martijn Dashorst,Web Development,N,1900-01-01,1900-01-01,.
59,Open Source SOA,1933988541,92.42,1.74,0.34,1221,2009-05-01,N/A,Jeff Davis,Java,N,1900-01-01,1900-01-01,.
60,Struts 2 in Action,193398807X,112.41,2.35,0.47,856,2008-05-01,N/A,Donald Brown,Java,N,1900-01-01,1900-01-01,.
61,Essential Guide to Peoplesoft Development and Customization,1884777929,183.68,3.13,0.62,1235,2000-08-01,N/A,Tony DeLia,Client-Server,N,1900-01-01,1900-01-01,.
62,.NET Multithreading,1930110545,130.84,3.05,0.61,1221,2002-11-01,N/A,Alan Dennis,Microsoft .NET,N,1900-01-01,1900-01-01,.
63,SCWCD Exam Study Kit Second Edition,1932394389,76.24,6.43,1.28,858,2005-05-01,N/A,Hanumant Deshmukh,Internet,N,1900-01-01,1900-01-01,.
64,Spring Roo in Action,193518296X,73.29,2.16,0.43,1133,2012-04-13,N/A,Ken Rimple,Java,N,1900-01-01,1900-01-01,.
65,SOA Governance in Action,1617290270,155.53,8.87,1.77,194,2012-07-27,N/A,Jos Dirksen,java,N,1900-01-01,1900-01-01,.
66,RSS and Atom in Action,1932394494,170.41,5.38,1.07,1331,2006-03-01,N/A,Dave Johnson,Internet,N,1900-01-01,1900-01-01,.
67,LDAP Programming; Management and Integration,1930110405,67.98,3.87,0.77,905,2002-11-01,N/A,Clayton Donley,Internet,N,1900-01-01,1900-01-01,.
68,Mule in Action,1933988967,207.53,12.03,2.4,1399,2009-07-01,N/A,David Dossot,Java,N,1900-01-01,1900-01-01,.
69,Java Foundation Classes,1884777678,62.87,1.61,0.32,1468,2001-10-01,N/A,Stephen C. Drye,Java,N,1900-01-01,1900-01-01,.
70,Managing Components with Modeler,1932394524k-e,206.27,5.25,1.05,240,2005-03-01,N/A,Vikram Goyal,Java,N,1900-01-01,1900-01-01,.
71,Command-line Processing with CLI,1932394524l-e,75.99,1.77,0.35,234,2005-03-01,N/A,Vikram Goyal,Java,N,1900-01-01,1900-01-01,.
72,Understanding and Using Chain,1932394524m-e,29.97,1.33,0.26,41,2005-03-01,N/A,Vikram Goyal,Java,N,1900-01-01,1900-01-01,.
73,Working with the Logging and Discovery Components,1932394524n-e,138.72,2.57,0.51,542,2005-03-01,N/A,Vikram Goyal,Java,N,1900-01-01,1900-01-01,.
74,Uploading files with FileUpload,1932394524b-e,75.74,3.22,0.64,967,2005-03-01,N/A,Vikram Goyal,Java,N,1900-01-01,1900-01-01,.
75,Handling Protocols with the Net Component,1932394524c-e,70.8,1.2,0.24,631,2005-03-01,N/A,Vikram Goyal,Java,N,1900-01-01,1900-01-01,.
76,XML Parsing with Digester,1932394524d-e,95.19,2.38,0.47,338,2005-03-01,N/A,Vikram Goyal,Java,N,1900-01-01,1900-01-01,.
77,JXPath and Betwixt: Working with XML,1932394524e-e,96.84,2.08,0.41,879,2005-03-01,N/A,Vikram Goyal,Java,N,1900-01-01,1900-01-01,.
78,Validating Data with Validator,1932394524f-e,118.2,2.36,0.47,576,2005-03-01,N/A,Vikram Goyal,Java,N,1900-01-01,1900-01-01,.
79,Enhancing Java Core Libraries with Collections,1932394524g-e,181.45,3.96,0.79,333,2005-03-01,N/A,Vikram Goyal,Java,N,1900-01-01,1900-01-01,.
80,Enhancing Java Core Libraries with BeanUtils and Lang,1932394524h-e,173.42,7.63,1.52,558,2005-03-01,N/A,Vikram Goyal,Java,N,1900-01-01,1900-01-01,.
81,Pool and DBCP: Creating and Using Object Pools,1932394524i-e,52.51,1.23,0.24,987,2005-03-01,N/A,Vikram Goyal,Java,N,1900-01-01,1900-01-01,.
82,Python and Tkinter Programming,1884777813,137.5,6.2,1.24,1405,2000-01-01,N/A,John E. Grayson,Python,N,1900-01-01,1900-01-01,.
83,Microsoft.NET for Programmers,1930110197,110.21,6.5,1.3,1336,2002-12-01,N/A,Fergal Grimes,Microsoft .NET,N,1900-01-01,1900-01-01,.
84,Grails in Action,1933988932,148.72,8.38,1.67,740,2009-05-01,Grails in Action is a comprehensive guide to the Grails framework. First; the basics: the domain model; controllers; views; and services. Then; the fun! Dive into a Twitter-style app with features like AJAX/JSON; animation; search; wizards   even messaging and Jabber integration. Along the way; you'll discover loads of great plugins that'll make your app shine. Learn to integrate with existing Java systems using Spring and Hibernate. You'll need basic familiarity with Java and the web.,Glen Smith,Java,N,1900-01-01,1900-01-01,.
85,Up to Speed with Swing; Second Edition,1884777759,101.91,2.68,0.53,588,1999-10-01,Now in its Second Edition; Up to Speed with Swing is for you if you want to get on the fast track to Java Swing. The second edition has been extensively updated to cover Java 1.2 with additional code examples and illustrations.,Steven Gutz,Java,N,1900-01-01,1900-01-01,.
86,OSGi in Action,1933988916,153.47,7.31,1.46,1533,2011-04-06,OSGi in Action is a comprehensive guide to OSGi with two primary goals. First; it provides a clear introduction to OSGi concepts with examples that are relevant both for architects and developers. The central idea of OSGi is modularity; so you start by learning about OSGi bundles. You'll then see how OSGi handles module lifecycles and follow up with how it promotes service-oriented interaction among application components.,Richard S. Hall,Internet,N,1900-01-01,1900-01-01,.
87,GWT in Action,1933988231,73.37,2.29,0.45,1492,2007-06-01,N/A,Robert Hanson,Internet,N,1900-01-01,1900-01-01,.
88,The Quick Python Book,1884777740,39.42,1.73,0.34,1027,1999-10-01,N/A,Daryl Harms,Python,N,1900-01-01,1900-01-01,.
89,SharePoint 2010 Site Owner's Manual,1933988754,148.92,8.83,1.76,885,2012-02-13,"SharePoint 2010 Site Owner's Manual starts by assuming you already have SharePoint installed on your system and are looking for ways to solve the problems you face every day in your organization. You'll learn to determine what type of SharePoint installation you have   Microsoft Office SharePoint Server (MOSS); Windows SharePoint Services (WSS); the ""Fabulous 40"" templates   and what features are at your disposal. Once you know the lay of the land; you'll discover what you can do yourself; when you need to call in some help; and when you should leave it to the developers.",Yvonne M. Harryman,Microsoft .NET,N,1900-01-01,1900-01-01,.
90,Java Development with Ant,1930110588,151.86,4.42,0.88,1124,2002-08-01,The most widely used build tool for Java projects; Ant is cross-platform; extensible; simple; and fast. It scales from small personal projects to large; multi-team J2EE projects. And; most important; it's easy to learn.,Erik Hatcher,Java,N,1900-01-01,1900-01-01,.
91,Lucene in Action,1932394281,54.73,1.46,0.29,722,2004-12-01,N/A,Erik Hatcher,Java,N,1900-01-01,1900-01-01,.
92,Lucene in Action; Second Edition,1933988177,164.61,5.54,1.1,1068,2010-07-09,With clear writing; reusable examples; and unmatched advice on best practices; Lucene in Action is still the definitive guide to developing with Lucene.,Erik Hatcher,Java,N,1900-01-01,1900-01-01,.
93,PowerBuilder 6.0 Questions & Answers,1884777708,104.3,3.87,0.77,558,1998-07-01,"If you'd like to learn PowerBuilder--or enhance your skills-- this book is for you. Its hands-on approach will show you how to write real code. Each section takes a specific ""How do I "" topic and answers commonly asked questions in an easy-to-understand; conversational manner. It then shows you how the same technique can be used over and over again to decrease your overall code-writing time.",Tim Hatton,PowerBuilder,N,1900-01-01,1900-01-01,.
94,The Awesome Power of PowerJ,1884777538,143.87,9.33,1.86,856,1998-05-01,The Awesome Power of PowerJ shows you how you can write Java programs the very first day with PowerJ; even if you don't know Java. Through a hands-on approach that makes liberal use of figures and code snippets; you will learn how to use PowerJ to build effective Java applets and applications.,Tim Hatton,Java,N,1900-01-01,1900-01-01,.
95,The Awesome Power of Power++,1884777546,117.87,2.14,0.42,1373,1998-06-01,The Awesome Power of Power++ is for the beginning to intermediate Power++ programmer. It assumes that you have little or no knowledge of the C++ language but that you do know programming constructs. The purpose is to teach you how to use Power++ to build C++ applets and applications even if you are not a C++ expert. To this end it takes a hands-on approach and makes liberal use of figures and code snippets.,Tim Hatton,PowerBuilder,N,1900-01-01,1900-01-01,.
96,Azure in Action,193518248X,219.35,8.86,1.77,1331,2010-10-22,Azure in Action is a fast-paced tutorial intended for architects and developers looking to develop on Windows Azure and the Windows Azure Platform. It's designed both for readers new to cloud concepts and for those familiar with cloud development but new to Azure. After a quick walk through the basics; it guides you all the way from your first app through more advanced concepts of the Windows Azure Platform.,Chris Hay,Microsoft .NET,N,1900-01-01,1900-01-01,.
97,Distributed Agile in Action,1935182412,123.91,4.94,0.98,974,1900-01-01,Distributed Agile in Action is the first book to directly address the unique task of going Agile in a distributed team. Rather than rehashing Agile theories; this book supplies the practical examples and step by step advice you need to help your distributed teams adopt and embrace Agile principles. It's a distilled and carefully organized learning aid for working in a distributed Agile environment; with in-depth focus on how to approach three critical components of development-People; Process and Technology.,Vikas Hazrati,Software Engineering,N,1900-01-01,1900-01-01,.
98,Metaprogramming in .NET,1617290262,164.35,2.78,0.55,624,2012-12-31,N/A,Kevin Hazzard,Microsoft/.NET,N,1900-01-01,1900-01-01,.
99,Portlets and Apache Portals,,108.39,6.63,1.32,916,2005-10-01,"Portlets and Apache Portals was not published by Manning; but the manuscript is available for download from our website ""as is.""",Stefan Hepper,Java,N,1900-01-01,1900-01-01,.
100,Code Generation in Action,1930110979,166.04,4.99,0.99,729,2003-07-01,Code Generation In Action covers building database access; user interface; remote procedure; test cases; and business logic code as well as code for other key system functions.,Jack Herrington,Programming,N,1900-01-01,1900-01-01,.
101,Illustrated Guide to HTTP,138582262,197.16,10.45,2.09,1263,1997-03-01,N/A,Paul S. Hethmon,Internet,N,1900-01-01,1900-01-01,.
102,Agile ALM,1935182633,119.21,2.1,0.42,464,2011-08-20,Many software projects fail unnecessarily because of unclear objectives; redundant and unproductive work; cost overruns; and a host of other avoidable process problems. In response; agile processes and lightweight tooling have begun to replace traditional engineering processes throughout the development lifecycle. An agile approach to application lifecycle management improves product quality; reduces time to market; and makes for happier developers.    Agile ALM is a guide for Java developers who want to integrate flexible agile practices and lightweight tooling along all phases of the software development process. The book introduces a new vision for managing change in requirements and process more efficiently and flexibly. You'll learn powerful practices like task-based Development; where you align activities into tasks resulting in traceable artifacts; Continuous Integration; in which you frequently and systematically integrate; build; and test an application in development and using Scrum as an agile approach to release management. The effect is a more comprehensive and practical approach to build; configuration; deployment; release; test; quality; integration; and requirements management.    This book synthesizes technical and functional elements to provide a comprehensive approach to software development. You'll learn to see the whole scope of the development process as a set of defined tasks; many of which are repeated daily; and then master the tools and practices you need to accomplish each of those tasks efficiently.    Because efficient tool chains can radically improve the speed and fluidity of the development process; this book demonstrates how to integrate state-of-the-art lightweight tools. Many of the tools and examples are Java-based; but the Agile ALM principles apply to all development platforms. As well; the many examples show how you can bridge different languages and systems.,Michael Hüttermann,Software Engineering,N,1900-01-01,1900-01-01,.
103,Java Network Programming; Second Edition,188477749X,188.86,3.87,0.77,1408,1999-05-01,N/A,Merlin Hughes,Java,N,1900-01-01,1900-01-01,.
104,Struts in Action,1932394249,145.66,2.8,0.56,775,2002-10-01,N/A,Ted N. Husted,Java,N,1900-01-01,1900-01-01,.
105,Camel in Action,1935182366,184.93,6.53,1.3,592,2011-01-04,Camel in Action is for developers working with integration of any kind. This highly practical book introduces Camel and shows examples of how to use it with the 45+ supported enterprise integration patterns. Written by the people who wrote the Camel code; it's up to date and distills details and insights that only people deeply involved with Camel could provide.,Claus Ibsen,Java,N,1900-01-01,1900-01-01,.
106,Taming Text,193398838X,151.55,3.64,0.72,799,2012-12-31,Taming Text is a hands-on; example-driven guide to working with unstructured text in the context of real-world applications. This book explores how to automatically organize text using approaches such as full-text search; proper name recognition; clustering; tagging; information extraction; and summarization. The book guides you through examples illustrating each of these topics; as well as the foundations upon which they are built.,Grant S. Ingersoll,Software Engineering,N,1900-01-01,1900-01-01,.
107,JBoss in Action,1933988029,145.66,4.2,0.84,825,2009-01-01,N/A,Javid Jamae,Java,N,1900-01-01,1900-01-01,.
108,Gnuplot in Action,1933988398,134.53,4.03,0.8,427,2009-08-01,N/A,Philipp K. Janert,Computer Graphics,N,1900-01-01,1900-01-01,.
109,Extending and Embedding Perl,1930110820,57.45,2.11,0.42,421,2002-08-01,N/A,Tim Jenness,Perl,N,1900-01-01,1900-01-01,.
110,iOS 4 in Action,1617290017,215.21,3.98,0.79,792,2011-06-09,iOS 4 in Action; written for Xcode 4; is a detailed; hands-on guide that goes from setting up your development environment; through your first coding steps; all the way to creating a polished; commercial iOS 4 application. You'll run through examples from a variety of areas including a chat client; a video game; an interactive map; and background audio. You'll also learn how the new iOS 4 features apply to your existing iOS 3 based apps. This book will help you become a confident; well-rounded iOS 4 developer.,Jocelyn Harrington,Mobile Technology,N,1900-01-01,1900-01-01,.
111,Elements of Programming with Perl,1884777805,177.18,3.7,0.74,965,1999-10-01,N/A,Andrew L. Johnson,Perl,N,1900-01-01,1900-01-01,.
